attribute,gemini_lite_with_null,gemini_tiered_with_null,gemini_flash_with_null
OVERALL,60.3,67.5,71.5
sleeve_length,0.0,0.0,0.0
silhouette_type,28.6,59.5,52.4
waist_position,46.0,64.0,48.0
waist_definition,42.0,68.0,62.0
color_primary,56.0,58.0,66.0
neckline_depth,28.6,76.2,78.6
hemline_position,61.5,50.0,73.1
fit_category,56.0,56.0,74.0
rise,50.0,50.0,87.5
fabric_sheen,48.0,68.0,72.0
leg_shape,75.0,62.5,62.5
color_value,70.0,60.0,74.0
fabric_apparent_weight,76.0,58.0,74.0
fabric_drape,70.0,68.0,72.0
leg_opening_width,50.0,75.0,87.5
sleeve_type,69.0,83.3,90.5
pattern_type,84.0,90.0,92.0
neckline_type,92.9,90.5,90.5
garment_type,96.0,98.0,98.0
is_adult_clothing,98.0,100.0,100.0
