image_id,garment_type_GT,garment_type_lite,garment_type_tiered,garment_type_flash,color_primary_GT,color_primary_lite,color_primary_tiered,color_primary_flash,color_value_GT,color_value_lite,color_value_tiered,color_value_flash,pattern_type_GT,pattern_type_lite,pattern_type_tiered,pattern_type_flash,hemline_position_GT,hemline_position_lite,hemline_position_tiered,hemline_position_flash,is_adult_clothing_GT,is_adult_clothing_lite,is_adult_clothing_tiered,is_adult_clothing_flash,fabric_apparent_weight_GT,fabric_apparent_weight_lite,fabric_apparent_weight_tiered,fabric_apparent_weight_flash,fabric_sheen_GT,fabric_sheen_lite,fabric_sheen_tiered,fabric_sheen_flash,fit_category_GT,fit_category_lite,fit_category_tiered,fit_category_flash,fabric_drape_GT,fabric_drape_lite,fabric_drape_tiered,fabric_drape_flash,waist_definition_GT,waist_definition_lite,waist_definition_tiered,waist_definition_flash,waist_position_GT,waist_position_lite,waist_position_tiered,waist_position_flash,rise_GT,rise_lite,rise_tiered,rise_flash,leg_shape_GT,leg_shape_lite,leg_shape_tiered,leg_shape_flash,leg_opening_width_GT,leg_opening_width_lite,leg_opening_width_tiered,leg_opening_width_flash,silhouette_type_GT,silhouette_type_lite,silhouette_type_tiered,silhouette_type_flash,sleeve_type_GT,sleeve_type_lite,sleeve_type_tiered,sleeve_type_flash,sleeve_length_GT,sleeve_length_lite,sleeve_length_tiered,sleeve_length_flash,neckline_type_GT,neckline_type_lite,neckline_type_tiered,neckline_type_flash,neckline_depth_GT,neckline_depth_lite,neckline_depth_tiered,neckline_depth_flash
image_01,top,top,top,top,black,black,black,black,very_dark,very_dark,very_dark,very_dark,solid,solid,solid,solid,,,,,true,true,true,true,medium,medium,light,medium,matte,matte,matte,matte,tight,fitted,fitted,fitted,structured,fluid,fluid,fluid,undefined,,defined,,undefined,,natural,,,,,,,,,,,,,,sheath,,bodycon,,full_length,full_length,full_length,full_length,,,,,boat_neck,boat_neck,boat_neck,boat_neck,shallow,,shallow,shallow
image_02,top,top,top,top,black,black,black,black,very_dark,very_dark,very_dark,very_dark,solid,solid,solid,solid,,,,,true,true,true,true,light,medium,very_light,light,subtle_sheen,matte,matte,matte,fitted,fitted,fitted,tight,fluid,fluid,fluid,fluid,undefined,undefined,defined,,undefined,undefined,undefined,,,,,,,,,,,,,,sheath,fitted,,bodycon,sleeveless,sleeveless,sleeveless,sleeveless,,,,,boat_neck,boat_neck,boat_neck,boat_neck,shallow,,shallow,shallow
image_03,sweater,sweater,sweater,sweater,burgundy,red,red,red,dark,dark,dark,dark,horizontal_stripes,solid,solid,horizontal_stripes,,,,,true,true,true,true,medium,medium,medium,medium,matte,matte,matte,matte,relaxed,loose,relaxed,relaxed,fluid,fluid,,fluid,undefined,,undefined,,undefined,,undefined,,,,,,,,,,,,,,shift,,,,full_length,full_length,full_length,full_length,,,,,scoop_neck,boat_neck,boat_neck,scoop_neck,medium,,shallow,medium
image_04,top,top,top,top,cream,beige,beige,beige,light,medium_light,medium_light,very_light,solid,solid,solid,vertical_stripes,,,,,true,true,true,true,medium,medium,medium,medium,matte,matte,matte,matte,fitted,tight,fitted,fitted,structured,fluid,,fluid,defined,defined,defined,,natural,natural,natural,,,,,,,,,,,,,,sheath,bodycon,,,full_length,full_length,full_length,full_length,,,,,cowl_neck,cowl_neck,cowl_neck,cowl_neck,medium,medium,shallow,medium
image_05,dress,dress,dress,dress,red,red,red,red,medium,medium_dark,medium_dark,medium_dark,polka_dot,polka_dot,polka_dot,polka_dot,above_knee,above_knee,mini,above_knee,true,true,true,true,light,light,very_light,light,matte,,matte,matte,semi_fitted,fit_and_flare,undefined,fitted,fluid,fluid,fluid,fluid,defined,undefined,undefined,defined,natural,,undefined,natural,,,,,,,,,,,,,fit_and_flare,a_line,a_line,fit_and_flare,halter,sleeveless,sleeveless,sleeveless,,,,,halter,halter,halter,halter,shallow,,shallow,shallow
image_06,dress,dress,dress,dress,light blue,blue,blue,blue,light,medium_light,medium_light,light,solid,solid,solid,solid,maxi,maxi,maxi,ankle,true,true,true,true,light,light,light,light,matte,matte,matte,matte,loose,loose,relaxed,relaxed,fluid,fluid,fluid,fluid,undefined,undefined,undefined,defined,undefined,undefined,undefined,empire,,,,,,,,,,,,,tiered,tiered,tiered,tiered,halter,sleeveless,sleeveless,sleeveless,,,,,halter,halter,halter,halter,medium,medium,medium,deep
image_07,top,top,top,top,black,black,black,black,very_dark,very_dark,very_dark,very_dark,solid,solid,solid,solid,,,,,true,true,true,true,medium,medium,light,medium,subtle_sheen,matte,matte,matte,tight,,fitted,fitted,structured,fluid,fluid,fluid,defined,,defined,defined,natural,,undefined,,,,,,,,,,,,,,bodycon,,bodycon,,off_shoulder,short,off_shoulder,off_shoulder,,,,,off_shoulder,off_shoulder,off_shoulder,off_shoulder,shallow,,,
image_08,top,top,top,top,black,black,black,black,very_dark,very_dark,very_dark,very_dark,solid,solid,solid,solid,,,,,true,true,true,true,medium,medium,,medium,matte,matte,matte,matte,oversized,oversized,oversized,oversized,fluid,fluid,fluid,fluid,undefined,,undefined,undefined,undefined,,undefined,undefined,,,,,,,,,,,,,tent,,,,short,short,short,short,,,,,one_shoulder,one_shoulder,one_shoulder,off_shoulder,medium,,medium,deep
image_09,top,top,top,top,black,black,black,black,very_dark,very_dark,very_dark,very_dark,solid,solid,solid,solid,,,,,true,true,true,true,light,light,light,light,subtle_sheen,matte,matte,matte,tight,tight,tight,fitted,structured,fluid,fluid,fluid,defined,,defined,undefined,natural,,natural,undefined,,,,,,,,,,,,,bodycon,,bodycon,,short,short,short,short,,,,,scoop_neck,scoop_neck,scoop_neck,scoop_neck,deep,shallow,medium,deep
image_10,top,top,top,top,navy,blue,blue,navy,dark,dark,dark,dark,solid,solid,solid,solid,,,,,true,true,true,true,light,light,light,light,subtle_sheen,,matte,matte,semi_fitted,relaxed,loose,semi_fitted,fluid,fluid,fluid,fluid,undefined,,undefined,,undefined,,undefined,,,,,,,,,,,,,,shift,,,,short,short,short,short,,,,,scoop_neck,scoop_neck,scoop_neck,scoop_neck,medium,shallow,medium,medium
image_11,dress,dress,dress,dress,navy,blue,blue,navy,very_dark,very_dark,dark,very_dark,solid,solid,solid,solid,mini,mini,mini,mini,true,true,true,true,medium,medium,,medium,subtle_sheen,matte,,matte,tight,tight,tight,tight,structured,structured,,fluid,defined,defined,semi_defined,undefined,natural,natural,undefined,undefined,,,,,,,,,,,,,bodycon,bodycon,bodycon,bodycon,short,short,short,short,,,,,square_neck,square_neck,square_neck,square_neck,medium,medium,medium,medium
image_12,dress,dress,dress,dress,black,black,black,black,very_dark,very_dark,very_dark,very_dark,solid,solid,solid,solid,mini,mini,above_knee,mini,true,true,true,true,medium,medium,medium,light,subtle_sheen,matte,matte,matte,fitted,fitted,fitted,fitted,fluid,fluid,fluid,fluid,defined,semi_defined,defined,defined,natural,natural,elasticized,natural,,,,,,,,,,,,,fit_and_flare,tiered,fit_and_flare,fit_and_flare,full_length,full_length,full_length,full_length,,,,,square_neck,square_neck,square_neck,square_neck,medium,,deep,deep
image_13,dress,dress,dress,dress,white,white,white,white,very_light,very_light,very_light,very_light,solid,solid,solid,solid,above_knee,above_knee,,mini,true,true,true,true,light,very_light,very_light,light,subtle_sheen,matte,matte,matte,semi_fitted,fitted,,semi_fitted,fluid,fluid,fluid,fluid,defined,semi_defined,defined,defined,empire,empire,empire,empire,,,,,,,,,,,,,fit_and_flare,tiered,fit_and_flare,fit_and_flare,flutter,flutter,flutter,flutter,,,,,sweetheart,sweetheart,sweetheart,v_neck,medium,shallow,deep,deep
image_14,dress,dress,dress,dress,mint green,green,green,green,light,medium_light,medium_light,very_light,floral_small,floral_small,floral_small,floral_small,below_knee,midi,midi,at_knee,true,true,true,true,medium,light,very_light,light,subtle_sheen,matte,matte,matte,fitted,fitted,semi_fitted,fitted,structured,fluid,fluid,fluid,defined,defined,defined,defined,natural,natural,natural,natural,,,,,,,,,,,,,fit_and_flare,a_line,fit_and_flare,fit_and_flare,sleeveless,spaghetti_strap,spaghetti_strap,sleeveless,,,,,square_neck,sweetheart,sweetheart,sweetheart,medium,,medium,medium
image_15,dress,dress,dress,dress,black,black,black,black,very_dark,very_dark,very_dark,very_dark,solid,solid,solid,solid,at_knee,at_knee,midi,at_knee,true,true,true,true,light,light,light,medium,matte,matte,matte,matte,semi_fitted,semi_fitted,semi_fitted,semi_fitted,fluid,fluid,fluid,fluid,defined,semi_defined,defined,defined,natural,elasticized,elasticized,elasticized,,,,,,,,,,,,,wrap,a_line,fit_and_flare,fit_and_flare,short,short,short,short,,,,,wrap_surplice,wrap_surplice,wrap_surplice,wrap_surplice,deep,deep,medium,deep
image_16,dress,dress,dress,dress,navy,blue,blue,navy,dark,dark,very_dark,dark,solid,solid,solid,solid,maxi,maxi,maxi,maxi,true,true,true,true,light,medium,,light,matte,matte,matte,matte,relaxed,relaxed,,relaxed,fluid,fluid,fluid,fluid,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,,,,,,,,,,,,,column,column,column,column,sleeveless,sleeveless,sleeveless,sleeveless,,,,,v_neck,v_neck,v_neck,v_neck,medium,medium,medium,medium
